Part #,Cracks,Dry Mix,Blisters,Molded in Flash,Improper Sanding,Non-Fills,Chips,Pits,IMC Short Shots,IMC Blisters,Test Parts,Press/Equip Malfunction,Wavy,IMC Peel,IMC Chips,Teardown,IMC Tracks,External Trials,Holes Off,Dips,Paint Sags/Drips,Poor Repair,Too Heavy
118439,9,3,3,47,9,28,3,91,0,0,1,28,0,0,0,0,0,0,0,0,0,0,0
118440,28,0,2,32,20,5,2,2,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0
119527,149,2,39,63,1,281,4,199,0,0,1,73,0,0,0,0,0,0,0,0,0,0,0
119527S,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0
119528,24,0,20,39,1,15,16,4,0,0,1,46,0,0,0,1,0,0,0,0,0,0,0
23399289,0,0,0,0,0,55,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0
23399289T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23399290,0,0,3,2,0,78,0,0,0,0,0,0,0,0,10,0,0,0,1,1,0,0,0
2JL0501HUN,2,0,16,4,0,13,2,31,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2JL0601HUN,0,0,24,2,1,18,1,17,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
4JL0101HUN,5,0,0,4,0,26,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
4JL0301HUN,14,0,0,5,0,9,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0
4JL0401HUN,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4JL0501HUN,14,0,1,6,1,12,6,0,0,0,1,8,0,0,0,0,0,0,4,0,0,0,0
4JL0601HUN,47,0,1,9,0,8,3,0,0,0,1,11,0,0,0,0,0,0,6,0,0,0,0
4JL0701HUN,10,0,0,23,0,41,21,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1
84143854,34,1,87,107,10,12,17,14,145,6,62,114,8,2,0,0,5,0,54,0,0,0,0
84143855,29,0,89,93,24,3,13,45,103,1,75,94,19,1,3,0,27,0,76,1,15,1,0
84546120,264,3,309,101,3,42,80,197,0,0,22,24,18,0,0,0,0,5,0,12,0,0,6
84546661,110,0,5,23,4,26,25,1,0,0,3,94,0,0,0,0,0,0,3,0,0,0,0
84546662,102,0,0,21,18,19,21,6,0,0,3,40,0,0,0,0,0,0,0,0,0,0,0
AL00501,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL00601,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AME41673,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
AMV96976,12,0,59,39,7,5,50,8,36,5,77,45,5,4,55,2,12,5,0,0,0,0,0
AMV96979,3,0,3,75,10,15,83,45,26,1,87,74,2,8,34,0,5,1,0,0,0,2,0
ANR25945,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ANR25945T,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ANR25965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
ANR26005,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANR28095,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
ANR28252,5,0,25,0,0,46,0,0,0,0,0,2,48,0,0,0,0,0,1,0,0,0,0
ANR28252T,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANR28253,1,0,1,0,0,4,0,0,0,0,0,1,88,0,0,0,0,0,0,0,0,0,0
ANU69201,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0
BDA26234,29,0,35,8,10,7,3,0,139,7,16,63,0,92,52,0,29,0,0,0,0,0,0
BDC52947,42,1,4,84,3,28,8,7,0,0,2,36,0,0,0,0,0,0,0,0,0,0,0
BDC81721,77,0,88,59,54,2,63,14,602,37,125,248,4,207,62,0,7,0,0,5,0,2,0
BDE40965,231,0,165,82,8,18,83,6,1468,47,137,159,0,119,194,0,149,4,0,2,0,1,0
BDH25453,10,0,0,0,2,13,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
BDH64236,136,0,12,17,13,1,6,8,292,15,35,41,3,3,48,0,47,0,0,0,0,1,0
BDI07133,302,0,49,104,32,92,19,81,0,0,4,165,0,0,0,0,0,0,14,4,0,3,0
BDR94728,95,1,0,14,2,18,10,8,0,0,5,54,0,0,0,0,0,0,0,0,0,0,0
FL741501,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HL3V16015AE,168,1,6,39,13,12,13,20,0,0,9,29,0,0,0,0,0,0,0,0,0,0,0
HL3V16016AD,140,0,3,30,3,12,14,5,0,0,9,29,0,0,0,0,0,0,0,0,0,0,1
HL3V16016AE,14,0,1,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
HL3V16615AC,93,2,45,67,53,5,67,58,0,0,3,17,5,0,0,0,0,0,0,12,0,0,0
HL3V16854AE,72,20,0,63,4,35,19,6,0,0,7,24,0,0,0,0,0,0,17,0,0,0,7
JL98101HUN,18,0,0,7,17,21,3,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0
JL99101HUN,38,0,0,2,8,16,8,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0
JT0201HUN,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JT0301HUN,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KR3V16615A,280,0,16,213,3,19,11,192,0,0,8,24,0,0,0,0,0,0,0,0,0,0,0
KR3V16854A,17,0,0,11,3,15,0,0,0,0,6,21,0,0,0,0,0,0,0,0,0,0,0
